date_time,currency_symbol,source_chain_name,destination_chain_name,amount,entity_identifier,bridge
2024-07-05 07:55:02+00:00,WETH,Arbitrum,Polygon,4.105463346537728,0x73aac58214e02491b70427e298564d3a302bc04a7334cb8394859306e1c65f66,
2024-07-05 07:55:11+00:00,WETH,Arbitrum,Ethereum,9.1913358504576,0x2a615f1a79f5f88c4fad54618ec0b4c33ed3b8549379b684696d04b4f177923f,
2024-07-05 07:55:21+00:00,WETH,Arbitrum,Solana,8.27220226541184,0x5e8b721a9e28f68716efb81ed2943ecdbb07bc1a8edd7c637a42865d219824be,
2024-07-05 07:55:32+00:00,WETH,Arbitrum,Polygon,13.7870037756864,0xbe4b48858f98459cb7467e285b05df5b7969bbcd222a519ab069a70296d536ad,
2024-07-05 07:56:15+00:00,WETH,Arbitrum,Polygon,9.1913358504576,0x32cdb7cf3ce76bac3a3d60785fdd9f1708c5e1f6737fcae32681b28ca118f7fc,
2024-07-05 08:00:19+00:00,BNB,Base,Solana,110.0774672604684,0xffec65067c8f58767a1a64eb57dac10da3a39c40f721dd2dccb7c14126b4b378,
2024-07-05 08:03:13+00:00,BNB,Solana,Base,41.99219561863316,0x5cdb11100f4016954d7921fdb5fa8b92e6c332d33422eca15d4c8ec0afb8a896,
2024-07-05 08:05:24+00:00,BNB,Solana,Base,41.87013119116055,0x3f8bc15f83a38b9b325a5dd887a5355201642e744770f476d4647465bb991891,
2024-07-05 08:06:51+00:00,BNB,Arbitrum,Base,3.1048234412776146,0x13d63a52b4028528c3269741ecb7d312fad60d6defadf29f76d9cc5e95c84caa,
2024-07-05 08:07:23+00:00,BNB,Base,Solana,102.21087024137071,0x05074dc746d6b771d6f8cc21591ffe52b9de0c95718926b12670efdb88645ae1,
2024-07-05 08:07:59+00:00,BNB,Solana,BNB Chain,270.9400669106537,0x837c6fbe3c6c48a4d9e26d8d0b1b86f3b1196280000a8eb06433c2519e986b27,
2024-07-05 08:08:49+00:00,BNB,Base,BNB Chain,4.690450019284524,0xa61432c01b6cfafacf6d18c66d233d87d50d89b45cc5f425ae96a363dbbaa24a,
2024-07-05 08:11:47+00:00,BNB,Base,Ethereum,1.5506140141838176,0xd11300fb7bf156e2c25cb211d674c82e7d1c052b5c7385c4a5de5fe449d081ed,
2024-07-05 08:12:17+00:00,BNB,Base,Ethereum,92.68089828634052,0x38cea9c10131d7cded1cc76aba3b1db017a66d89e6ac51651937dd38474a1e12,
2024-07-05 08:19:43+00:00,BNB,Base,BNB Chain,97.31656095918228,0xc605ed419b398a513c815f9f37283e9514e846ecfc2d44ed131d725778beb1a6,
2024-07-05 08:28:38+00:00,BNB,Solana,Arbitrum,270.7562397928526,0xa2c9d271908470a37b0af6a894a2b28991441918dafae8c5d9e506aa57d4fab7,
2024-07-05 08:37:05+00:00,BNB,Solana,Base,4.7017121838057925,0xaf40090302aec749c2e7bc27ceb51ef4f7a670d566eb27dd4ee96ae28b34646f,
2024-07-05 08:39:12+00:00,BNB,Solana,Ethereum,669.6316259398404,0x29f32a153d98e43eacbc2d42ee60deb6c8c39aa98edad72fcd448e646a95033e,
2024-07-05 08:39:55+00:00,BNB,Base,BNB Chain,164.90932835541557,0x3e2764f40e0b37ff87ef0ec78b8e77e2a103c4af6be62462a95df227a6f43eec,
2024-07-05 08:45:08+00:00,BNB,Solana,Ethereum,16.29170816701367,0x8596fcfa00b4488ad8d5d3bae9af6e4d760a6dcd24ec780ad4ad2fe7c70b4e42,
2024-07-05 09:00:34+00:00,WETH,Arbitrum,Base,160.38797855327155,0x8524d4fa5b0eff4d4a9ce8fae120a09677b16f57251dbeddfd6987f976bda72e,
2024-07-05 09:05:34+00:00,WETH,Arbitrum,Polygon,337.0831237866548,0xe2c689ed5617da6c7c38f2c4721925540a365cbb085a46974f78631c1ea3019b,
2024-07-05 09:07:47+00:00,BNB,Ethereum,BNB Chain,535.1891340860352,0x24178368dd04d56586ec70704c33820cdbdae3523f82bae7913c62e4f1741221,
2024-07-05 09:12:12+00:00,WETH,Arbitrum,Base,321.9815728575508,0xf371ef2d7b0611d7fd10d985f0108ec2c2a62e3499ca1b4d29b8a5e3f71eaee3,
2024-07-05 09:15:11+00:00,BNB,Linea,Ethereum,5.126855555555557,0x3cc37f2ca2c849634a2da05a71a3e620e46fd45f5d1d82e17bbdd3d15830cfe3,
2024-07-05 09:22:03+00:00,BNB,Polygon,Solana,61.627642238428685,0xd32eb039533cccaf54acfa6c91d9fad28e0db8ddfc1c9fa1602c93e5709e4567,
2024-07-05 09:25:02+00:00,BNB,Solana,Optimism,10.895817466307127,0xbfd06d49fff33bf0d374c30e7ea27cb8ae3c32d24fb6c60980fbf344f0c9087b,
2024-07-05 09:29:50+00:00,BNB,Solana,Optimism,334.50774409821423,0x17952a324117a3aa0aa24cfbef42b14bbfeb446d54d8f44fac3600c473a569da,
2024-07-05 09:36:59+00:00,BNB,Solana,BNB Chain,325.2303245507737,0x7f5db1e868298b6e4a94c1dd63b06f3642a30064fc3c8d73144a978382ec2822,
2024-07-05 09:43:23+00:00,BNB,Ethereum,BNB Chain,1953.3600345188,0x7271b59d581fca326c5f3fd19422a8b951f22eb859955fc7ea4c4a0c5d46224b,
2024-07-05 10:01:29+00:00,WETH,Arbitrum,Ethereum,370.3015104517997,0x42ee7ec6221a7f4bccbfc59df1873a9dcca28363c74f3a3e24f6e45fa98b494f,
2024-07-05 10:05:30+00:00,WETH,Arbitrum,Ethereum,1263.402702757806,0x75669ddf596eda69587783da0186e2fc2bb8138eb42f9444612d7f149248adc6,
2024-07-05 10:08:25+00:00,BNB,Linea,Solana,215.0156172304319,0xf0f087cb9fefba9fcaeb75b50880f2934a47899c69131f199483b27ba00f04ad,
2024-07-05 10:08:47+00:00,BNB,Solana,Base,41.080926291283006,0xe961ce0e698a9181f3f4428996ea08144c5454c019829f4aee4e7878fbc5b06f,
2024-07-05 10:19:30+00:00,BNB,Solana,Arbitrum,0.010694628304216,0x7b1e420c15c1d7b51b666e99c12ba130e8e73f628e3489c46bd6301d543cbe92,
2024-07-05 10:20:31+00:00,BNB,Solana,Arbitrum,0.0106980943304272,0x582be9dba1cd80d13e7ba2ec0fd7455db9b7f5e07de4c84fd26047620a37f681,
2024-07-05 10:28:33+00:00,BNB,Base,Arbitrum,3.114821960542496,0x58cb8cadfb6232527ea9ffbe338abe4ce47d26b1a979fcfe78db85ec94d1e042,
2024-07-05 10:28:51+00:00,BNB,Base,Solana,3.1129425064855005,0xe42ca193debdca8dc1500b2d64cc9f6a1c1c42ae2705523d978da0230c85cef2,
2024-07-05 10:29:13+00:00,BNB,Base,Arbitrum,3.1226858383532297,0x6ef0d64cf8268bd06aa84fbae2447020a74dc8aadb7ab95894b811767fc16d60,
2024-07-05 10:39:12+00:00,BNB,Solana,Polygon,4.108858233557367,0x72e5fcb5a1215f42539ec652488b329f52550305759dc0ed87dbb2b7b523fb7e,
2024-07-05 10:45:13+00:00,WETH,Base,Solana,47.54984413303399,0xc554e810ac9fa8c48e50bea73c12fbc09c4f1843a912e3d0a9d64c3c15fc87f0,
2024-07-05 11:01:57+00:00,BNB,Base,Arbitrum,400.8123167921056,0x684c19b611cf162d20515bc953a3f0693af2d56fcb6415096f21733e2f2fb255,
2024-07-05 11:17:59+00:00,BNB,Ethereum,BNB Chain,372.57436619515335,0x35bd425e123088db6cdd75f9cd52637a22c447b021cf925d900bdfc0a7aeade1,
2024-07-05 11:22:07+00:00,WETH,Arbitrum,Ethereum,1102.3566654578003,0x385028f5eb8a22804e36597ccc1f3ce8bcde3fffeea73992fc73bb528e9a6020,
2024-07-05 11:27:11+00:00,BNB,Ethereum,Optimism,7.690283333333334,0x031a5723138670bec45e958f2bcdb70fa0255f0e91d258bc17549e412e9cf57f,
2024-07-05 11:29:24+00:00,BNB,Solana,BNB Chain,2823.8458743283386,0x16d9146c73e273203c69e765aa71babd36642a8b0e449d273e41fa438dc7e92a,
2024-07-05 11:32:39+00:00,BNB,Optimism,Ethereum,46.60317278170388,0xda499b14695c72eceab43684fa920243376c584dc7578eb406fec0915738991e,
2024-07-05 11:34:38+00:00,BNB,Solana,Arbitrum,168.9500019514483,0x9dfb92dbd139a0606dac9fe49b996c7695270e2f5fe0de0e9392fc58d34a1226,
2024-07-05 11:56:05+00:00,WETH,Arbitrum,Polygon,30.637786168192,0x5bbc24db58b8479e1b7927ffa1a8e77ea1324f204b5a9ba87a941cfa6b420ce0,
2024-07-05 11:56:20+00:00,WETH,Arbitrum,Ethereum,30.637786168192,0x9541ac0aa7b68cd56ad9915896bfbbf293c1a1e95ae4011830f2568cf3e112af,
2024-07-05 11:56:38+00:00,WETH,Arbitrum,Solana,30.637786168192,0xd9f0df6a31fb48f937d8dc40aff989bfc07e55573176e421b58633be296bb12d,
2024-07-05 11:56:53+00:00,WETH,Arbitrum,Solana,30.637786168192,0x4c430b484ae0d2fb237af0774436ae831e36f60859e55049e8fa1d2503aa0d88,
2024-07-05 11:59:33+00:00,WETH,Arbitrum,Ethereum,30.637786168192,0x23515473c21eaefdbadd56ce7a50cb53e75a472f72f945fb9d0aecad75c36d4d,
2024-07-05 12:00:01+00:00,WETH,Arbitrum,Polygon,30.637786168192,0x76288603f96e92149026e14f8304765f5a7afb123edc5d05a86e7eb37f1517a4,
2024-07-05 12:00:31+00:00,WETH,Arbitrum,Solana,30.637786168192,0x2b1734c77cd75db0c420f5b9b0f54f7277fed8fd211432181c41d1212e667e11,
2024-07-05 12:05:23+00:00,WETH,Arbitrum,Ethereum,30.637786168192,0x1b080baa2f4d9179c9746a439784b2dc8eb751ebb7d76648fc30c2b696d76b81,
2024-07-05 12:21:00+00:00,BNB,Solana,Polygon,209.02091093124807,0x95ae86a98fc7c3f2c23eaf1466227f9e851ae1bc5efde65db4c773dde7dfde0b,
2024-07-05 12:33:12+00:00,WETH,Arbitrum,Ethereum,33.701538204230815,0x9bbcbf5df7158ac4e82f2e565f62ddec06617b07832c04cbd94b30ac2b937763,
2024-07-05 12:33:55+00:00,WETH,Arbitrum,Solana,31.955210973424258,0x27270fc7b7afa9a793f240678e7dce7af9b569927ac1d6db2561bb8db9240e34,
2024-07-05 12:39:43+00:00,BNB,Solana,BNB Chain,12.585307325982706,0x08f8a03fe8af7c27c93a54f9544f1fe146dee2b4d818b7c10f433c8dc34434e5,
2024-07-05 12:44:40+00:00,WETH,Arbitrum,Base,103.11503469816682,0x8a8db9330bfa9ef412ce86a9f4d7525f73cd3819365105bc6a268c529c019f6d,
2024-07-05 12:57:29+00:00,BNB,Polygon,BNB Chain,89.25210937699255,0xc09b28776b3fafa595325c05a6091182f336e83101327dc6b243c345cc3f5376,
2024-07-05 13:04:11+00:00,BNB,Ethereum,Base,264.44773004562813,0x048824fa97daf5eef41c61403a19d5dd58c6ac756355d6ee0e3f60f8ba000c5b,
2024-07-05 13:08:29+00:00,BNB,Arbitrum,BNB Chain,92.1870203482898,0xf1f923fe77dbac0f2fc5211832ad7f60f153ab547ef1386a8fee42955d4f8381,
2024-07-05 13:11:05+00:00,BNB,Linea,Arbitrum,184.64349612149047,0x37ed3eafb5514a8288cd0bfbe06394830bf46f2a2c4602ad49fb19adc9ffc8ce,
2024-07-05 13:12:01+00:00,BNB,Solana,Arbitrum,134.2940896137013,0x04b53e1cc07d7171b71c6f023bdbcd09b200950ad4ab81fb61f13675c1e656f5,
2024-07-05 13:30:31+00:00,BNB,Base,BNB Chain,1.0826871519014492,0x00f089125f651527f3c9b987ce27d83c77a8d05d1030c373e60787f9ac3bd7da,
2024-07-05 13:33:49+00:00,BNB,Optimism,Solana,376.1291035435544,0xc752ee47597b86dd5f09d03b39fc4e7991f111f696d6d26e42660b7bd33f0a68,
2024-07-05 13:40:00+00:00,BNB,Arbitrum,Solana,98.03859629892338,0xdb0d36062048cd7bede52df054eba6c580d1578c5ecaa8c60d72d22b7fb43174,
2024-07-05 13:45:24+00:00,BNB,Solana,Ethereum,69.24916573801188,0xb5464fde5a35f7fa4f65102fc5b45789b9fbff9b2125ee0b30cdafc07c5f5693,
2024-07-05 13:48:49+00:00,BNB,Base,Solana,45.92007987724851,0xc38ded6bdc63170600c9eabffc23d10f24ee8ffcd2bebacd9bd39c7a8dd9baf7,
2024-07-05 13:49:01+00:00,BNB,Solana,Base,10.314972686339186,0x70df483b1527e493a4815efb0d3696f54ddf6a43be1d7bab4a17f465e4f111d8,
2024-07-05 13:49:18+00:00,BNB,Arbitrum,BNB Chain,243.0356784933041,0xe0dc601eeb7ec11e853864ca162d678528e64983e711fa7092bd69d8bab4b5b8,
2024-07-05 13:49:47+00:00,BNB,Linea,Base,7.6416200883524334,0x81e5bf2e5ebcd23b8d5acaa971dea9edf899cde91247efeee98a9dd0bf8edeb8,
2024-07-05 13:50:07+00:00,BNB,Base,Ethereum,4.906129072549237,0x4b705447c7869cbb95a256749ebbb2b658c6c871ddc750b15604143afa18a677,
2024-07-05 14:00:12+00:00,BNB,Arbitrum,Optimism,88.71946942381837,0x3b7c5d5ef84a63ff94d0783678c071051c87a5266c81b716adf06ad15ceb6fcc,
2024-07-05 14:02:41+00:00,BNB,Arbitrum,BNB Chain,0.0305507977470702,0x63003b0a4c3df6e7c8494d251b0cd518a8767de89b64edef9f629de4239c621f,
2024-07-05 14:08:03+00:00,BNB,Arbitrum,Polygon,103.3576546591024,0x0ca28930fc2cfe7803911a84d7d4e47e9eeda32126c14ee27826ae6df3f8465f,
2024-07-05 14:14:26+00:00,BNB,Arbitrum,Optimism,0.3061291827178288,0xea16efd2bd935e4e1d892874355e8c21ef7c0d250314d0fd89b8c71f19c7d41f,
2024-07-05 14:21:59+00:00,BNB,Arbitrum,Optimism,0.0306364118182834,0x31c6233c0fa7817c5bc8e7c1aad0f7c9efe7073ad4f5ae35f24edb5c9b219092,
2024-07-05 14:32:47+00:00,WETH,Ethereum,Base,17.552387695757197,0x9a9ae618821a9a72837e2b3511b16775517c319c01cc7bdbd1c03da7593d818e,
2024-07-05 14:35:23+00:00,BNB,Ethereum,BNB Chain,30.610067295203688,0xf281ec712ccc1a3a25a52c12f72e9f9e349ce60aed2665d0a41acdd2c27c4c93,
2024-07-05 14:35:51+00:00,BNB,Linea,BNB Chain,6.423926985768594,0xff8db384f6496ecfc0ee1353684a7c824df21affd239e9c5449846ad7b96dd90,
2024-07-05 14:38:05+00:00,BNB,Base,Arbitrum,26.010970666531776,0x12af5a566126950a92cac39c83ef53116b9481ad20a7cb45f15dbd1f3141d9af,
2024-07-05 14:47:24+00:00,BNB,Solana,BNB Chain,103.40622706209686,0xea0261cc925d22d68fd7b6785eb92677e38a6e8d129597383af247662c47ff23,
2024-07-05 14:56:35+00:00,BNB,Ethereum,Base,305.8550225289122,0xf9b6fce8ef3834d934ab0aa5f513c305dbd72f57e6393d28497f86036d5d11c4,
2024-07-05 15:29:17+00:00,BNB,Linea,Optimism,9.754860195034032,0x0cf1078776d2548e1809928ec37d2d1ad60c7a97239bdf1ea689d87b9cd1a7cf,
2024-07-05 15:38:41+00:00,BNB,Arbitrum,Base,30.78913255401611,0x4348cc1c71c64a98a0d906b9a27d44ef715e576592839d0d2b260a1c8accf2f4,
2024-07-05 15:40:35+00:00,BNB,Ethereum,BNB Chain,153.87788575347727,0x28bdfbeaa72f486c8f4ebb1c2691c4e25008dcc205fde4d9113f820513a4977d,
2024-07-05 15:46:11+00:00,WETH,Polygon,Base,26.958405762909138,0xd3abfe993db33aabb501ed7ebf5bb70bc3091ed3bdff4ce1c489319abd396a95,
2024-07-05 15:57:34+00:00,BNB,Arbitrum,BNB Chain,220.94119343203627,0x249f0c3e2a9753fa34b3dd36de049ff4107086e4db2e93d251430e8db4e5ae08,
2024-07-05 15:58:46+00:00,BNB,Arbitrum,Polygon,236.17545211256825,0xbb2db6040b8337dab6831e31fe9ea1a1c1158d109584ede04297ad75f267def9,
2024-07-05 16:00:01+00:00,BNB,Solana,BNB Chain,215.4195954196292,0xa2092b233ff419a1544988af807dfc31dd2f8a486887abf26700ccd76f05a898,
2024-07-05 16:39:52+00:00,BNB,Solana,Arbitrum,20.44626017718352,0xfe6fc1f02e5bf143cf36cafc5a07f5f6a45d7405c6b7f01617e0dbd3dbb844d0,
2024-07-05 16:41:53+00:00,BNB,Linea,Base,335.53689989800114,0x7ee02f82161b42476d854e22b7f38cc8ded5d5e76288ac0532b0e426a5cfaf5b,
2024-07-05 16:49:52+00:00,BNB,Solana,Base,55.2434319977868,0x269a1a85f9785c9376a456de9708c9c363e24b3d3200b3e43d140215d775a86f,
2024-07-05 16:52:03+00:00,WETH,Base,Ethereum,355.3983195510272,0x524689b4b849daaae43f800181770297dea52749a51038add9ebfa5b8e4271ab,
2024-07-05 17:16:07+00:00,WETH,BNB Chain,Polygon,2434.1414732766866,0x5d3dca9e2d204f7d2aff8e8931c9f48d7abc33339e3f3927530c49f8f465d116,
2024-07-05 17:33:21+00:00,BNB,Base,BNB Chain,101.4173251293564,0x6f21c63230cca2d1f250e81e83c631b1d62820be3d619a2101b38347d4ddec79,
2024-07-05 17:53:26+00:00,BNB,Polygon,Base,10.198762048320384,0x88bc7917318e8432b59afbd10fac3ccf7e5acf39c38fe0219e91866bd9ba0390,
2024-07-05 17:59:23+00:00,BNB,Ethereum,Arbitrum,145.8850474654198,0x4708f980f360ca6a61ed9f737cc309de6fb32ecf8ce61bd4b3eec566d4aca928,
2024-07-05 18:02:18+00:00,WETH,Arbitrum,Ethereum,569.8444400566704,0xe4a3b0e72881705a8c5dcc705ec793935caa12e851e97824e5967bf3301ead5f,
2024-07-05 18:07:35+00:00,BNB,Base,Optimism,211.40059290108488,0xaa11cc98a7c4aca1ccb70ec67af4f3d41182e78ba45f988221ec5f9309c07f22,
2024-07-05 18:09:39+00:00,BNB,Base,Optimism,200.4484633994764,0x89a89b2ce737a97d3cc7bdbf16beb7b3aa305b16371ee23ee1e8927d62c1a2fe,
2024-07-05 18:21:02+00:00,BNB,Arbitrum,Solana,179.62552461418946,0xf2093e402662502efe82f7bb2ed0f84eb840cfd248f1c6c0bea3b31ccbbb944a,
2024-07-05 18:27:13+00:00,BNB,Base,BNB Chain,7.011440579696294,0xb9557971aca155c065dcb688fd5e7d6b886b64fa07237b64d1621f42554bc9b5,
2024-07-05 18:29:13+00:00,BNB,Base,BNB Chain,42.4184570314817,0xd6bebfb658b4381defd9e3d6cb5e08feb4ac76f6cdf47e90f38e857c5dbd0725,
2024-07-05 18:31:09+00:00,BNB,Base,Polygon,36.565994247137965,0x4236c8d0c6f3dcc2a4b8105b0d6622c8305a2eb68c92b9df2c091b2ca5359129,
2024-07-05 18:34:11+00:00,BNB,Ethereum,Base,61.06162828028924,0x649a3023866077d131d9ac137f5f8a82e898a4e55e5ec225c44517a1d43bfbd1,
2024-07-05 18:34:47+00:00,BNB,Base,Ethereum,91.6207708606278,0xdb9e9859cc6f9990fa10f4d4635df5c69a048780750cfa8beaf11fec62a5f153,
2024-07-05 18:55:02+00:00,WETH,Arbitrum,Solana,0.91913358504576,0x6b16941944157959d196e72652b65c9b00037ccb9f726ac9960b1953e1e85a72,
2024-07-05 19:38:47+00:00,BNB,Ethereum,Arbitrum,15.288700042264344,0x2c5161dd627d0a6ba71f417ec4b1f4c705a359461fcae1741d9d802c237efc5f,
2024-07-05 19:46:37+00:00,BNB,Optimism,Arbitrum,145.75673148797466,0x3b0a73fc3110481707bbb749d244fce159c30328ffe634af24aeb0a4c5568a88,
2024-07-05 19:46:47+00:00,BNB,Ethereum,BNB Chain,2318.990126968256,0x7276edd67de3f342542558271f027b5cfc1b51c9d9261e50640d57b1b19b2771,
2024-07-05 19:52:01+00:00,BNB,Base,BNB Chain,30.59938284901657,0x13723b30b4218c292684eedefcb78982af17cdaa60a951f14b0ac0e65400a361,
2024-07-05 20:07:06+00:00,WETH,Arbitrum,Solana,116.82380537867978,0xf95a136e71f5a518039751d9565dd31f3306365a961d029aab6bf489934e4704,
2024-07-05 20:13:05+00:00,WETH,Arbitrum,Solana,21.446450317734403,0x5b8a5add2a13460ffb8a4b62a7b676a2f5c2474ac7f672d53d57191fefc79d6c,
2024-07-05 20:14:05+00:00,BNB,Base,Solana,10.684152592835146,0x0ff4738a46ff542411af3457955d4574fc2515749b395aae1df97e59006aced0,
2024-07-05 20:21:21+00:00,BNB,Arbitrum,Solana,5.123217466036993,0xeef141e84ab04b4a816740a9e665d128a7b9726f6dfbd3eeb28066a49c3729f7,
2024-07-05 20:24:26+00:00,WETH,Arbitrum,Polygon,3.0637786168192003,0x04f5a74a31855dd3293dd872a1c5755ac55af852acd52c29685ea134d76193e5,
2024-07-05 20:24:53+00:00,WETH,Arbitrum,Solana,3.0637786168192003,0x9f7bb679a8b35c4cc9246816c42dada65a4f5a29d694bd04bd0a1a8cdedbea50,
2024-07-05 20:26:41+00:00,WETH,Arbitrum,Polygon,3.0637786168192003,0x3de9565801129ba365a2e357da005d4b8ac51b30b1ae48eef3df9d62ee654d90,
2024-07-05 20:27:01+00:00,WETH,Arbitrum,Polygon,3.0637786168192003,0x1e2df6063a1523a1c2a1be18398aaad9b0ea7bb8e97ac7aac0bdd6d637c1680b,
2024-07-05 20:30:23+00:00,BNB,Ethereum,BNB Chain,4047.3818555398734,0xdcd0b61852754f0c6a3caf66bc2858c0281aaa311a31f403572c32170770ecfc,
2024-07-05 20:39:25+00:00,BNB,Arbitrum,Optimism,21.971952616455145,0x042851d5ae053feeb48a99d305254c7fc3930685c95770889ef5cce26683c986,
2024-07-05 20:45:45+00:00,BNB,Linea,Optimism,29.944747612296435,0x98a295a9a45dfe17d3cd498a0c3577a26e6242a5d960bec0a8ad0b7766dc8cdd,
2024-07-05 22:01:01+00:00,BNB,Base,Ethereum,121.15817411648896,0x5737cb2aaf457e977d74968aec934a9315ba91745f7b45857022cdb34680bb15,
2024-07-05 22:07:31+00:00,BNB,Base,Arbitrum,9.155385379649566,0x317a1d94db5c7d94204fea26e33b85dd3197bfe73569578e25efacf05726d82d,
2024-07-05 22:09:31+00:00,WETH,Base,Solana,76.59446542048,0xedf1b20409bc61bc8f73e6f1f0215261e6402db854709bd12c034695360c57fb,
2024-07-05 22:12:16+00:00,BNB,Arbitrum,Base,30.48539122228424,0xfc1dfbe3758138d6d7e885d6105a66f4dfbeb4bed9615c71e45a7016d0417cc0,
2024-07-05 22:13:31+00:00,WETH,Optimism,Linea,4.153317521434001,0x7ec5c2e3aa309b32aff45985c08bf2008c35538b114ec94f043b61285b56a047,
2024-07-05 22:25:41+00:00,WETH,Linea,Solana,71.4901661087927,0xe5fb479c701b56804ae9e57d39ed1ac6f3f89f15955c7df16c8d9022a4779022,
2024-07-05 22:35:47+00:00,WETH,Linea,Solana,76.50562319660332,0xbc29d63403aadfc08ec128ad35cf6315d93c82cc5a7328f68c49bece19cfc6a7,
2024-07-05 22:39:17+00:00,BNB,Solana,Arbitrum,61.57918690250306,0x9aff3fb4ff7dbef78b769d141733d3abbd42b4447ba4391be947b11c8816c478,
2024-07-05 23:55:27+00:00,BNB,Optimism,Base,259.16352183348255,0xc956ecac009c8922f2942a4a4ec4a8402db5d3b4ec9ce2af820a030172cef6a3,
2024-07-06 00:53:47+00:00,BNB,Ethereum,BNB Chain,1963.9933148642665,0x17c02e2893271ddbf99dd97534f7b82bc881c52f064c1afe0146185ac432b476,
2024-07-06 01:08:31+00:00,BNB,Linea,Optimism,2.942383410255652,0x9e19cffe822a1b1003b15c07a558414dab97a2f6ae637b2e0986f08ef9bd8637,
2024-07-06 01:16:15+00:00,WETH,BNB Chain,Base,127.33176656432065,0x4d5212ece659ba9a39db0cff871b80313e752f746fd51854c904848c02e353c6,
2024-07-06 01:37:34+00:00,BNB,Solana,BNB Chain,9.89547879713625,0x34dbbaf1fa4148b6d10cf9f87b61fea5c75e375767bbbfc9f1bd1856ffee68da,
2024-07-06 01:45:31+00:00,BNB,Base,Ethereum,17.34953929443529,0xf3d47c155943fec0f525a26657e469cd89b7871997b6404b9f559898ece592b8,
2024-07-06 01:50:53+00:00,BNB,Base,Arbitrum,2.9446560327329925,0x7ae2ed8e7c5ae28d2e5d98c4ccb6a01f4ec4ef08ddaa6ccfc0b6203f2794643e,
2024-07-06 02:07:27+00:00,BNB,Linea,BNB Chain,44.22342194303155,0xf5c7116841c797d55f5a1fcbbe58fc79847a5e0c53ef081c59b9de7705a9be7f,
